0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
Ordu,0,1,0,3,3,3,3,3,3,3,3,1,1,0,7,7,7,3,3,3,3,3,3,3,1,0,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,12,12,5,5,5,5,5,5,5,5,5,5,2,2,2,0,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Osmaniye,0,0,1,1,0,5,5,5,5,2,0,7,7,7,3,3,3,1,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,5,5,2,2,2,2,2,0,2,2,2,2,0,18,18,18,18,8,8,8,3,3,3,1,1,0,36,36,36,36,74,74,74,74,74,36,36
Rize,0,1,0,0,1,1,0,2,2,0,5,5,5,5,5,5,5,5,5,2,0,21,21,21,21,21,21,21,21,21,21,21,21,21,10,10,10,10,10,10,4,4,4,1,1,0,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
Sakarya,0,1,0,3,3,3,3,3,3,3,3,1,1,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,6,6,6,6,6,2,2,2,2,0,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,8,3,3,3,1,0,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
Samsun,0,1,0,3,3,3,3,3,3,3,3,1,1,0,7,7,7,3,3,3,3,3,3,3,1,0,4,4,4,4,4,4,4,4,1,0,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,17,17,17,17,36,36,36,36,36,17,17
Siirt,0,0,1,1,0,2,2,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3,1,1,0,35,17,17,17,17,17,17,17,17,17,17,17,17,17,8,8,8,8,8,8,3,3,1,0,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
Sinop,0,1,0,3,3,3,3,3,3,3,3,1,1,0,7,7,7,3,3,3,3,3,3,3,1,0,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,12,12,5,5,5,5,5,5,5,5,5,5,2,2,2,0,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
Sivas,0,1,0,0,4,4,4,4,1,1,1,0,12,12,12,12,12,12,12,5,5,5,5,2,2,2,2,2,0,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,14,14,14,14,14,14,14,14,14,14,30,62,62,62,30,30,30,30,30,30,30,30,30,30,30,30,14,14,14,14
Tekirdağ,0,1,0,0,1,1,0,7,7,7,7,3,3,3,1,1,0,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,8,8,8,8,3,3,1,0,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Tokat,0,1,0,0,4,4,4,4,1,1,1,0,6,6,6,6,6,6,6,6,2,2,2,0,24,24,24,24,24,24,24,24,24,24,24,24,24,11,11,11,11,11,11,11,11,11,11,11,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
