,0,1,2,3,4,5,6,7,8
Elazığ,0.23708061859492036,0.3078688549211423,0.10455431276305441,-0.2635056807876461,0.34421447658229865,0.7644898130170904,0.1679375201617511,0.012008856733846763,0.1933059671029706
Mersin,-0.37617878330333626,0.021105072873199137,0.2590061479701622,-0.2924290553532113,0.17610584864426274,0.15015397529614152,-0.05622365626625433,0.7969905125656995,0.11632153249803749
Kocaeli,0.06465512974926745,-0.6843533423265593,-0.31804404634745065,0.0992275917794379,-0.07209386878672408,0.21401748969410628,-0.5130327571748753,-0.31449076250479985,0.05808635992431032
Iğdır,0.3079574318736185,0.37890356950896686,-0.14162184681243256,-0.4330899132060424,0.011679818601268434,-0.38038001648092057,-0.4039523838194626,-0.35042752001961897,-0.35095346482215634
Şırnak,-0.07937173866362407,-0.16709091300893758,0.029727960757411624,-0.7003084813164766,-0.3252385244390926,0.04140267879642115,0.418633432094976,0.4197614945343579,-0.12456761571368896
Ankara,-0.1105653211872856,0.40810915703916506,0.18970082899273596,0.28453652670131485,-0.7261575463236548,0.40059204250546165,-0.09755338893784181,0.02218030587279753,0.08054433487462993
Van,-0.25853227934926853,-0.05409554215443894,-0.3290064001616542,-0.7590293349809293,-0.343233226939291,-0.11166575880768774,-0.1267756182098933,0.2613185386177577,0.17670954807675118
Tekirdağ,0.023573123344848703,0.099753647154986,-0.8130973396512059,0.16341355897927778,-0.1202751344027363,-0.16160467447018984,0.006202003705136324,-0.16227335916479296,-0.48446770379263354
Diyarbakır,-0.24621986801579132,0.2497363887103422,0.1214178871718359,-0.7085002100113154,0.056982966833746054,0.3910015287699133,0.3564939429845826,0.03487265772387339,0.2754258052286409
Adana,-0.2905734057029592,0.06397789943859462,0.20883781732239562,-0.20637886736004013,0.4459168507285671,0.14923574235616258,0.012207050969151364,0.7770530572365758,0.013958618501186409
Düzce,0.012202437457707684,-0.3982002524513052,-0.7589868487419369,0.3863087292823473,-0.21180840946411983,0.19137849028476328,-0.05536352082719094,-0.14557648255193947,-0.10122266549975464
Çankırı,-0.2975265447802897,0.09699520056637244,0.06523522042655926,0.6279605225751554,-0.266049032238755,0.25409831788564324,0.31426127838897283,-0.2324997547266306,-0.4640210173808077
Burdur,0.3706181086152378,-0.007595503949341369,0.1836768764695565,0.14677805363943305,0.11108864213959323,-0.6141021520577519,0.3168071146634014,-0.014837383956325004,0.56325349396877
Kars,0.23179628192066543,0.33460336613146724,-0.2080419448953535,-0.2881699606687666,0.25870315563845964,-0.38215680551496073,-0.6154098070212853,-0.16040080658316241,-0.30093005487050434
Kastamonu,-0.1935656525243997,0.14241195848272972,-0.25235440709761686,0.5701990163082957,-0.30620617777791204,0.0395032580603649,0.2291931707432217,-0.26507540815888553,-0.5790719256108902
Kayseri,-0.24980216247438652,0.5150088765359339,0.3917150972785436,0.4068054468568917,-0.2075299146324127,0.16916584589265363,-0.3606060479981833,0.3866749629868634,-0.04683321413554839
Artvin,0.28858916247228356,-0.7050300436505202,0.2814021522585411,0.035499076682915666,0.08850285695143784,0.089597941461299,-0.48151030262578837,-0.3015086920569468,0.024111561319703274
Kırklareli,0.08673416746426277,0.03816797693823305,-0.8927349372094527,0.1909193856486506,0.0649355560900947,-0.12712614490445273,-0.008828588180278098,0.05672807480313474,-0.36595192060812337
Gümüşhane,0.583104718601699,-0.17189799663424615,0.1953739229775238,-0.04507913308358128,0.18948150659030993,0.39679548753052385,-0.5330108185853432,-0.186503676397988,-0.2792898379373428
Sivas,0.19799210122668925,0.375833011334957,0.5019292003564493,0.26980065224499483,-0.23735593391536108,0.6133860564247833,-0.08812241052790191,-0.19428472063503818,-0.1293481960824526
Antalya,0.3901995665023697,-0.1581133837579222,0.40060391570137194,0.07387413811763706,-0.179271257526354,-0.27582127042003757,0.31194782862694376,0.4435133347358973,0.5045517691528397
Erzurum,0.4544400203639187,0.19815436068405934,0.10949030618931727,-0.248101150973781,0.15054705554658757,0.18942883677378464,-0.7143897236273099,-0.3332448144986785,0.026913290765094525
İstanbul,-0.2135659869205169,-0.0043514653701999225,-0.2621275688338046,-0.23935746534951882,0.38851264119663254,0.03371601395410976,0.045957215249173664,-0.5274817113162582,-0.6292375640768793
Bursa,-0.27106175043562875,-0.36047766695711736,-0.15210961911108636,-0.1347096784022767,0.02510292739022774,0.1374987670587557,-0.5397986826409065,-0.36403647718450205,0.558440778405879
