,0,1,2,3,4,5,6,7,8,9,10
Kocaeli,0.4023938097775951,-0.3097227941960498,0.046997275611402045,0.3136193649551391,0.08522884723259123,-0.1863823092483013,0.5482137649801015,0.040173609169951684,-0.0024669792507546794,-0.44378257088368456,-0.3169882234765589
Iğdır,0.0036206591958941226,0.01690621394138073,0.2765692598365388,0.21293859351403763,0.34813716429955566,-0.6548438559125496,0.2772259337597289,-0.16418950343057073,-0.2668312393826435,0.31461444228845364,-0.23206494969566543
Şırnak,-0.2829059876544389,0.11851264605068369,-0.3060446203692586,-0.09997209905805897,0.23475024782371673,-0.1817319946108909,-0.6408611166396383,-0.07260009727721431,0.29390883541299917,0.29466731015978986,-0.35347143555575805
Ankara,0.20774184497872775,0.6680872347024448,-0.17214750764955997,-0.019749666871811018,0.11009529917280074,-0.28089943393285627,-0.03085421756224362,0.17941655582526936,0.07651270730611162,0.005548177577807987,0.5919672559845677
Van,-0.4526015069007503,0.14192636773592238,-0.2387361027678465,0.02009200140186893,0.3316283705831487,-0.5483906112826843,-0.11681672076234971,-0.08613844363980859,-0.14444258923008585,0.02538613404790426,-0.514126864675411
Tekirdağ,0.22265968491959867,-0.0031239548162915283,0.08613134841693505,0.29795131699935073,-0.3035331050638187,-0.22174463995612542,0.1989104618784467,-0.5614472006452763,-0.009000625104504814,-0.12903424301035524,-0.5842919645506405
Diyarbakır,-0.5074075091414278,-0.014487813599805036,-0.407067288065572,-0.3319469048678942,0.43690800708793287,-0.011298621674914437,0.19420176862194477,-0.08627253808783962,-0.12051859265833195,0.4508607072794946,-0.11163129687203828
Adana,0.025199034936845516,-0.438668132184982,-0.3483515515731747,0.24435335065225638,0.19573828666227447,0.28910750984852923,-0.5583815885963496,0.0007504730848129319,-0.02135416341052057,0.39966488306157816,0.17889299910294473
Düzce,0.4111818277211806,0.4428965065288612,-0.039538437484604956,0.25792362510690364,0.12123103969369914,0.26715341391402236,0.29482110630609554,0.1232352184137581,-0.10445273979786568,-0.5529950602537265,-0.2485881690284494
Çankırı,0.4784757992506654,0.663090891042793,-0.16517632869998775,-0.1915867365842555,0.07493899555598577,0.1723645670229615,-0.16034637490706855,-0.037984126605074095,-0.20839601155393886,-0.39930514869385236,0.045055879804417456
Burdur,-0.43178877637124,0.11063078400877566,0.24363767734405975,0.04247823502916235,-0.49763508891859504,0.17482628852444526,-0.12703631660867964,0.5047080928704054,-0.37798776787001975,0.08167558678793516,-0.2038050838214899
