,0,1,2,3,4,5
Bilecik,-0.32281107485826727,0.3722038671817864,-0.03246223014233277,-0.14147771632200082,-0.24064863841572043,0.8235750017035068
Muş,0.014571453019961322,-0.041461734826429335,-0.12502113478955,0.9640064875301663,-0.12255487361804034,0.19521810395099218
Ağrı,-0.32304413449698766,-0.0442459608008721,0.10774340866229394,0.890308199113151,0.18538319457755728,0.23464978536075254
Hatay,0.4012117531557572,0.5601722598391131,0.4628576689858823,0.12512742304782803,-0.2858321078977146,-0.46221432344047897
Kırşehir,-0.16689224709830627,0.7316134826507613,0.5162035675223886,-0.16336133406254044,-0.3358716588526073,-0.17585752770969187
Bayburt,-0.44512454396975776,-0.06175465526344054,0.0050186200208951265,0.75142006158713,0.4656659198732046,-0.1286408118566248
Erzincan,-0.49066245776735656,-0.21637597528705477,0.10695528610945912,0.7925586186726064,0.21187654413192128,-0.16718708874790947
Siirt,0.3429352156807906,-0.18156155395911242,-0.4724041678627819,0.2887155776261601,-0.7247592105240629,-0.13278759035514173
Karabük,-0.282996119211162,0.6567056751153914,-0.2764692421465664,-0.35308526885131153,0.06009959966864717,0.5328549915027812
Kilis,0.5642066334859407,0.19473539435229356,-0.23602278984069114,0.13400074904296413,-0.4249143892135075,-0.6241264332552922
Malatya,0.3052211078657814,-0.22856173854834386,-0.3759162275299397,0.30432434230354133,-0.6584298841348342,-0.4326007157001811
Uşak,0.5086824161449522,-0.4125031499465941,0.4660897765810136,-0.05814103713212402,0.23063896902260017,0.5452237675717443
Karaman,0.31175013585500255,0.47504280027927454,0.7135975498085184,-0.05725880012541701,0.004786650028851902,-0.4057379023386767
Bitlis,0.22582088085842514,-0.1895652629010346,-0.37268275957646924,0.5714645616474691,-0.6649868396137116,-0.07347284876529776
Gaziantep,0.424931304131156,0.0046195486000770265,-0.05716962603247023,0.2910388070258199,-0.6730179614517711,-0.5277185961928247
Rize,-0.5889319121771479,-0.4608821214244602,-0.0808165876774269,-0.19008322391220642,0.503913335315459,-0.37967785108592605
Hakkari,-0.03064676721282014,0.09934324554105875,-0.007643866005032426,0.9794763304511416,0.1388143771827757,0.1024204731027634
Batman,0.38335900911196036,-0.28637600618114545,-0.47838813105420297,0.3253090018036875,-0.6049195574822076,-0.2653598153525096
Mardin,0.4633933518486845,-0.19298289320151954,-0.3525929673391928,0.2742419867412248,-0.7198952571643847,-0.1739096178979359
Muğla,0.3974272348795358,-0.41846366968846155,0.6292539656293872,-0.18184593809832292,-0.08847401868994165,0.47967030310470243
Zonguldak,-0.1900749947940274,0.402050414830366,-0.354110502523147,-0.6286692441449887,0.2102438819683612,0.48724244873843725
İzmir,0.2841619793573676,-0.5570109154516095,0.5810576766127417,0.0705963103686557,0.043105147691085394,0.5143159468748069
Kırıkkale,-0.4648005537667994,0.6981467806293599,0.08664738631612842,-0.38083525212826824,-0.24731326157550065,0.2878270483203536
Sakarya,-0.5120288161949393,0.42716085276273585,-0.3881276074900142,-0.29186687904749903,-0.043696542134298626,0.5635790935420484
Nevşehir,0.12795852498910545,0.5585530967556579,0.5824177255440033,-0.19976479036240344,-0.08698000246163692,-0.5338194026659808
Tunceli,0.44020224634453675,-0.38960091655842427,-0.31889021989757615,0.08945608257474648,-0.7196093984587966,-0.16401847067902084
Trabzon,-0.6913822894761499,-0.41410446303571913,-0.028356563821803755,-0.12278946557468381,0.43793094707899893,-0.37794597697979526
Bolu,-0.381853106540816,0.6229151185104885,-0.33032149596755356,-0.3301469002368464,-0.10005555568989234,0.48789812409717126
