,0,1,2,3,4,5,6,7,8,9,10
Kocaeli,0.6344646660878099,0.1938446099346581,-0.15205712927991388,0.33663541672215047,-0.20577951039889905,-0.04741122426979928,0.45573686039202405,0.011875506503676983,-0.18460081733863312,-0.22914066274609185,0.2905529737957272
Iğdır,0.13503672711647624,-0.0657674332489659,-0.47288940602710305,0.49248784403317064,-0.4364762209247917,-0.014004632755979365,0.032984381109667865,-0.45720879142220916,0.13365977465254614,0.10010231381077883,-0.2873154748488195
Şırnak,-0.16210476362279047,0.05960935261916948,0.528057290892983,-0.04479893079245075,0.005589660090642559,0.45693679486798994,-0.37262475836738557,-0.41892826274549705,-0.17482331484928113,0.19561424348825465,0.3119561213951303
Ankara,-0.4569442475064293,-0.21480920283638152,0.06140887132314741,0.1184391409476875,-0.44823720402494327,0.12100262314070627,0.13643653953598878,0.19550693058836277,-0.244228131426328,-0.6178207922554914,0.11624996701550079
Van,0.20476663944720927,-0.1625631186524701,-0.05868825844425398,0.34872774977150617,-0.34624098011927157,0.5438005606828312,-0.3723127784344851,-0.3262126900769917,0.24881195273628975,0.12386461747871329,0.2621169188171176
Tekirdağ,-0.050602270095722116,-0.02651884649435111,-0.10694344050288307,0.2592981108315053,-0.23749438044496615,-0.1341112135899412,0.2336752861717325,0.1274322270969833,0.18055459326573975,0.8532076793860851,-0.11076071396392673
Diyarbakır,0.05756699294412913,-0.18405634550834168,0.7361919437193392,0.11458034832472186,0.11771656332568892,0.2328922397389666,-0.29245821763815455,-0.3902224705977427,0.3030379947861138,-0.09699905667029553,-0.023661260908069928
Adana,0.036987703438531624,-0.4904997892419303,0.3032402355108956,0.04754072377112183,0.5401151662814457,0.28121305241776123,-0.33444715688089544,-0.08796660564841072,-0.2706679957724618,0.013441159449576436,-0.31620733521438715
Düzce,0.3808188636823084,0.5256610852112019,0.08067569190743444,0.3736262319611716,-0.06102447560807452,-0.13230037536519987,0.17731959799573477,0.5176351779005028,-0.3162836709518089,-0.1018811641807792,0.03900465074834282
Çankırı,-0.25415141714899814,0.4893294190045492,0.13157894253048574,0.48726830881643585,-0.14887391009250686,-0.13350513558226584,0.16122079512347912,0.5387306478126981,-0.2579844768267633,-0.014039990495191139,-0.13511966674346457
Burdur,-0.034475296176239734,0.31404760944031895,-0.32520738571997,-0.3641750265884768,-0.018421556098286065,-0.04213808992877084,-0.786365339980649,-0.1397588240163256,0.047603698574918585,-0.1341802456101455,-0.03890834930449066
Kars,0.21519572439129933,-0.3752387095401721,-0.35626449209394956,0.4058913336187637,-0.614095375016383,0.01379062493385392,0.03159444723992415,-0.35232762957959707,0.08232990012075159,0.08539051651010647,-0.06861863197881574
Kastamonu,-0.21899915125702307,0.4197620963919949,0.0937678286215087,0.5450937267825103,-0.08858758650242286,-0.4198137891892736,0.18291291831284578,0.4010129691934754,-0.17966738740550897,-0.02121848941302948,0.2425470426665749
Kayseri,-0.321223996532956,-0.6538888125513349,-0.23744931752349643,0.08842539382689474,0.278325756209438,-0.1959313709188364,0.06236206549169022,-0.016332279104882406,-0.27411828086054185,-0.3552790951153957,0.2892562352741806
Artvin,0.31387502157267194,0.19808051744589095,-0.37486025022175273,-0.11038828170964066,-0.049767562974749185,0.3962108340123888,0.5035846354011425,-0.018224708324268736,0.3484409201975502,-0.32957467172547056,-0.2571396509216124
Kırklareli,-0.24050319045259622,-0.035551737649270256,-0.2450824876313327,0.13270710811324626,-0.17875164340455005,-0.12950524900284746,0.28084595722927297,0.04461639269331758,0.24499435767698316,0.8139086622617572,0.10563762359362242
Gümüşhane,0.06704847564053347,0.21606054292009208,-0.5460359790945638,-0.014289841148206363,0.2109465764716808,0.03981374292646225,0.604735574588613,-0.45890401692321253,0.04709223500800011,-0.15320709031132176,-0.04889947228374006
Sivas,-0.4745410730559641,-0.22888667851291675,-0.3660355534929751,-0.0009879486991727466,0.44730500946222124,-0.29211975337814233,0.35123801813990735,-0.18437210726191458,-0.022829074248847295,-0.0777111009053759,0.37296317909002713
Antalya,-0.15184896992714422,0.007738875806024731,-0.29719231404011315,-0.5584236576433746,0.16249088088763114,0.419712112764264,-0.545985476548417,0.030412351499651116,-0.19372276704540423,-0.1491446533791208,0.1239456065839974
Erzurum,0.29399597667179944,-0.11892548847703219,-0.4677887623744243,0.02962085286347849,-0.13460406401566646,-0.0532507120375389,0.5032071901849227,-0.4745126970327342,0.12416247718009098,-0.3874959548675574,-0.12172209620195856
İstanbul,0.2000836712054677,0.1338046682070641,-0.013887733754587519,0.4925287119918987,0.2963873832803838,-0.27662688752713666,0.29278156086107376,0.007538923596450037,0.3820917866031298,0.4911608466975163,0.24881022820520496
Bursa,0.5160504322197309,-0.19531329923144564,0.13173943674697094,-0.33676637347832444,-0.2681549890430254,0.11511193756109497,0.45761817032530183,0.18760835929628683,0.4261303769937124,-0.20328784584071624,0.10998003445256314
Eskişehir,0.28327352968824554,-0.35434623200319815,0.11592592600662786,-0.5617602991975872,-0.4692320523337496,-0.036069870963553824,0.06774417677931288,0.371172646676894,-0.03504017304190586,0.1268294365083909,0.2898788019481443
Konya,-0.23958615056944446,-0.5240508523981743,-0.32243111493747256,-0.09286816009344889,0.06605551497663,0.10414574883057187,-0.4086933151377618,0.3015304835453632,0.12239381510297337,-0.36735291058577924,0.36372232296367424
Yozgat,-0.42473942989031244,-0.47360630173061485,-0.1914390420387573,-0.028023654029160443,0.11736593575952567,-0.20875603922013863,0.25192671222749413,0.570234691355498,-0.1021327522233108,-0.2958393790082588,0.11797754049095377
Sinop,-0.16975351475929903,0.6415252044886611,-0.03604806973089666,0.2666743860826785,0.21327804790738683,-0.05390355846657351,0.4112044370971456,0.4113996330187452,-0.025361770544901352,0.3104802302094723,0.05866349360348705
