,0,1,2,3,4,5,6,7,8,9,10,11
Mersin,-0.1527121207101206,-0.08156310620446751,-0.14420743969464958,-0.2519566886809787,-0.6513514328525726,-0.10554857439168161,-0.2188916716913202,-0.2655764660616904,-0.06642706632525401,-0.11391317053554441,0.36606363700242484,-0.4248688544313312
Kocaeli,0.7132750761840086,-0.15040847913122268,-0.2838332091840094,-0.02548112318822682,0.3238071545810576,0.017598378676519387,-0.06949285911522188,-0.017142083626765902,-0.15075260362800236,-0.035718382912572885,0.20698583458328823,0.45855883585408413
Iğdır,0.3729565875384281,0.41382421054583496,-0.10506329174502023,0.19710931893558084,0.013784499719378614,0.000623450188695047,0.49628035591836583,0.12211373014736442,-0.06978371601854756,-0.5083422205794761,-0.3190804834132486,-0.1152051937647892
Şırnak,0.049053908165234805,0.19555118318580939,-0.22022677447400196,0.11093913955124202,-0.36843234263002206,-0.03461020669479297,-0.476170855351461,-0.19506470685058946,0.20831809719737415,-0.04442435970585112,-0.12347943538997468,-0.6604542518609194
Ankara,0.024988476436126148,0.28859537393808365,0.435082957230655,-0.30082352122146305,-0.10471440236564387,0.18650444893076432,-0.3181912505975215,0.6772024262545464,-0.08401617964165002,0.1204180680119806,-0.03478903221245409,-0.08904490817037436
Van,0.2061316156948387,0.4279766631575815,-0.38701025633528124,0.23624819562908797,0.17779396884734192,-0.08386602741725714,-0.3626418769312855,-0.06258373622728074,0.0578132744496298,-0.35664872646434065,0.03820593252728847,-0.5125281859836397
Tekirdağ,-0.04298611702568995,0.3192605344593842,-0.3482103339512777,0.2395308580170802,0.2493197285194381,-0.24318274574729568,0.45261673718963474,-0.20768792092047686,-0.2633221201815076,0.3528406256719029,-0.33536103452647154,-0.20494635529365307
Diyarbakır,-0.34292610783300836,-0.3640894663998234,0.04160365433893168,0.1842796044957406,-0.37429297808528383,-0.4047807255122551,-0.4095246528191162,0.12534544186666777,-0.14449192871296895,-0.35247981525426086,-0.2856837437692614,-0.007139958213980085
Adana,-0.08629990712531273,-0.26800488820755436,-0.06274796976239773,-0.28762834405201426,-0.7445874521523225,0.016182965919137197,0.00500709023708296,-0.23655146659441867,-0.11502096442876988,-0.1621872777227322,0.3775905781827353,-0.2032120180519961
Düzce,0.41260667140059715,-0.24941412469503776,-0.039529417015669234,0.31853771578493206,0.3515111484204251,0.20928534634611975,0.053233425470154895,0.22333074019636687,-0.4965609129195342,0.4142252590570726,0.14022155606783007,-0.08143234555002117
