,0,1,2,3,4,5,6,7,8,9,10,11
Bingöl,-0.06692156849219143,0.6553423770454048,0.1909253731236382,0.15022079857553566,-0.36130625317582343,0.21108463054199036,-0.5007661503034291,0.0038052135232989107,0.13966630224786983,-0.09225413279196118,0.15175655335540797,-0.17349751246105113
Ordu,-0.5396871619005748,-0.4618819835390855,-0.17826837919744998,0.4946022701543565,0.316840326887031,0.14964515481504506,0.2606773634300197,0.06878528644147666,0.01710259182466917,0.11072993648525634,-0.09055455469260701,0.052654216396085744
Şanlıurfa,0.07523135547250964,0.3915835019417254,0.44769010571651197,-0.2551308906140629,-0.031024586078023057,0.024623432960366887,0.07978925372278055,-0.25742949208618,-0.4861915635067416,-0.4159919069138311,-0.110451261976187,0.28222032341118924
Elazığ,0.0007021292378565756,0.6552252813321483,0.15283502162540102,0.16265131738854988,-0.39832493036906286,0.033423358338695905,-0.46700404350035557,-0.10093775044949438,0.2370191258548452,-0.07588706831329295,-0.26484788195682935,-0.026887765831894773
Mersin,0.025750006320291452,0.4443214959033673,0.05132172526124927,-0.4114658703863767,-0.4795492499615808,-0.19514211546222712,0.2897943423713521,-0.052839072822077136,-0.3243464438992389,0.12784089965692713,-0.1171338220834807,0.37402187509837054
Kocaeli,-0.024475303185775774,-0.5191954562049661,0.08637450246996349,0.2607760909475122,-0.13288156431085968,0.23441575845018367,-0.09425751330200423,0.3193510572563022,-0.11457974974298356,0.5424278091409104,-0.3521016138798105,-0.198903205851166
Iğdır,-0.006140205411601149,-0.09961405485695636,0.09393613142417341,0.41422118645837996,0.08258383399434416,-0.19776049680348926,0.05746980856214701,-0.5577387120685189,0.10465322999999122,0.4870369488788553,0.3095190169147134,-0.32461097691057345
Şırnak,-0.00655107723540979,0.317192099210789,-0.04925290303695528,-0.029036826961963403,-0.3060642957324561,0.17125537543247557,0.67716737594966,-0.27777903952082933,-0.17056193736631817,-0.2546969958495974,-0.2948544528859066,0.23760383133217394
Ankara,-0.09093498630381101,0.04115805704089462,0.189724630748063,0.12825471982140418,0.02100966486542543,-0.7264415016036817,0.24695173107423302,0.4139823303336169,0.15385418109322896,-0.30807284322025047,-0.07896024112308464,-0.22858748852619742
Van,0.17824523793570632,0.03362601852679231,-0.06171825777392958,0.20967715839122072,-0.5865539781697983,0.03978756111988161,0.47669037870011394,-0.13843979375381385,-0.3452209268341432,0.08237730909955851,0.40437836211066036,-0.19445048174036933
Tekirdağ,-0.1426088650698698,-0.37983162071471893,0.15475455414573497,0.30158701892587886,0.17969971691332276,0.351139241836835,0.07568174146678566,-0.2455712950124206,0.3175796239666657,0.04682136851085611,0.5952114954526274,0.2038073225531387
Diyarbakır,0.13523330462923502,0.5015916091012682,0.2380496631903619,0.2198314709647923,-0.5758911061092877,0.2087836840211959,-0.05578118983972148,-0.17297493005294431,-0.1534435452071171,-0.39209816886244026,0.19890716400324382,-0.0011302069941667282
Adana,-0.15701787475347456,0.42844671678378743,0.18365375681984317,-0.5968559722905821,-0.38147303484193096,-0.06157372726034462,-0.027715716039326394,-0.15618769150490422,-0.25154022076943827,0.16011992678568704,0.05796714248176302,0.3675135705148546
Düzce,0.16559546429611754,-0.08184646681022208,-0.005986782648387521,0.3225657555273937,0.23269582168726713,0.2456476899003562,0.2680008775519079,0.6150441911626322,0.13403533471090567,0.4931071473722794,-0.16267729539905743,0.09806527038239371
Çankırı,-0.34037166935657553,0.10610289686087077,0.07190116209985735,0.3210589287528808,0.41434524890566515,-0.18085957977243416,0.11723572954727612,0.6425014949838187,0.2108163389682866,-0.0709544760652924,0.2168363351858478,0.19287318684122254
Burdur,0.4735973764266813,0.13200001807143713,-0.6079045093458989,-0.05482850781027547,0.3392981789228856,-0.11664119324755737,-0.22283376906533336,-0.07744781641518036,-0.42976295094313405,-0.03414902013639297,0.11610573677862955,0.044755957599498915
Kars,0.09218285522914339,-0.2178784288138525,0.2793418342555396,0.4390468982090817,-0.16170567274470649,-0.4182653605714177,-0.012768282268596205,-0.490752407408535,0.0708054334645401,0.2733183148498024,0.3015810563172949,-0.24591510168375763
