,0,1,2,3,4,5,6
Erzurum,-0.13965403116266914,0.8312521151087521,-0.21956110472767823,-0.11656491468746415,-0.39170170435471213,-0.03739830576959569,-0.26998769637353004
İstanbul,0.6296092256327473,0.30515657753503694,-0.07801185524895432,0.5573631640445307,0.15229632089441544,0.39106550607661783,-0.13268662551736546
Bursa,-0.10818832887281983,0.7331976133588815,-0.04482286121706845,0.022548759738568704,-0.6033376967021441,-0.2785231344685917,0.08128651247936379
Eskişehir,-0.4511135305445731,0.11384951607854604,0.7958212391593611,0.2818474026817584,-0.02738963307973207,-0.20392681806396631,0.16860939483540294
Konya,-0.6018224415000087,-0.39258993713130735,0.0745936425109714,-0.6337331311951377,-0.17611499303776806,-0.1283367325893227,0.17033552004312186
Yozgat,-0.13029901353913348,-0.24996836443874912,0.17403886863252008,-0.6578475829199505,0.023469486166122627,0.6008803565533052,-0.3096401040393648
Sinop,0.3359219090870906,-0.2478587350139589,0.006271314222815709,0.1904008582039727,-0.3388842182816271,0.7154265263406785,-0.4034266653227506
Isparta,-0.7859071767477215,-0.3969521149576674,0.1132499852190861,-0.28251847993501084,-0.12943361842107134,-0.02633513595115518,0.33865923337037684
Aksaray,-0.34293517688827163,-0.48542774739930183,0.04469789882571525,-0.7748810360367995,-0.1312363276298761,-0.15883866531322993,-0.04317579241065814
Ardahan,-0.07352473087619947,0.7051437823127922,-0.42368020482457946,-0.11163691415792115,-0.5078035516574975,-0.20636569249085612,-0.0703377390814668
Adıyaman,0.12485784571257239,-0.06759864190737301,-0.23697974157764629,-0.06975402876182475,0.7438921985288132,-0.48545403085089006,-0.3602425577693069
Kahramanmaraş,0.016512011889101667,-0.06278833255040567,-0.13268869971400105,-0.2789332639938043,0.6806564033898832,-0.4752850438679566,-0.4595496812801278
Osmaniye,-0.03318193002141608,-0.12097174365303624,-0.19420158384646072,-0.2489953835149131,0.6703698791937454,-0.5787776968111239,-0.3165003054045272
Niğde,-0.14252402257805702,-0.21288832025552762,-0.07703220749565383,-0.6534726390886832,0.3424782564101519,-0.5255423291010333,-0.32851015093462604
Tokat,0.19359355743917533,-0.056442916174170236,-0.19622957111551806,0.25377580668737026,-0.20304771182754033,0.7668779797699902,-0.47654728826979326
Bilecik,0.37128053285381846,0.09494563758687524,0.47930184205412724,0.12507218345287308,-0.524833772847532,-0.4097290636071876,0.40550510511097226
Muş,0.040369115442777395,0.7032070660691543,-0.0944239822255652,-0.14262494934781347,0.27388224222745133,0.057612618116668395,0.6295090911013013
Ağrı,-0.10246164178564755,0.885360392859569,0.03634020135788768,-0.219320320062567,-0.27544744499244034,-0.11178889448168362,0.2604774881035995
Hatay,-0.04744720246518122,-0.21564629043880376,-0.18275856617627542,-0.022160219287908085,0.6889220047709921,-0.6003889885559124,-0.2868330617827036
Kırşehir,-0.3707503696608695,-0.3278644815618595,0.005048011332386269,-0.8526802391891317,-0.11394387393244526,0.10744440379968642,-0.05858725193975523
Bayburt,-0.1536106622170947,0.7263938855795877,-0.3738384156595137,-0.1263855255085813,-0.29355434723720353,-0.208393640591516,-0.4042587799220603
