,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Afyonkarahisar,-0.09594640731301482,0.05388279816046732,0.15831552514204789,-0.48066575621438296,-0.17613006858582475,-0.07322196580178672,-0.051356117635391885,0.13533986245871343,0.49689174495186506,0.10752007581247099,0.3050063949070567,0.035004090678986355,-0.35127452835428435,0.339206366879389,0.05535001288518474,-0.28322329005963964
Samsun,-0.05406468661627315,-0.03330906914089663,-0.2881164895488367,0.002400390147420112,0.160398824153557,-0.5037959993398856,0.04553129519912846,-0.03907614365960971,0.012323421367337394,-0.5034908954635888,0.26217470202251764,-0.045544660580848294,0.06990343808656582,-0.16592049508716203,0.01259762696114048,0.5222765225399516
Amasya,-0.16190728294116258,0.2536085180053533,-0.06688061879092459,-0.038007456746749914,0.17009959087726,-0.6278822898707653,0.3601344393176812,-0.21055365215195382,0.03214756169488886,-0.22602296830989035,0.25318421922716516,0.23625099713991743,0.16984511186213538,-0.08886839547190743,-0.0678916147057861,0.30489443467204486
Kütahya,0.00369550670358704,0.05825714727249977,0.15721540640383905,-0.6088394483514573,0.04062739075196412,-0.03853849602500519,-0.2530714316565836,0.4695810208188568,-0.010687077657751684,0.009316710526755534,0.4214841772442745,0.021668655496011654,0.023093910724517334,0.1839970761307053,0.00538882429879129,-0.3174370107066194
Bingöl,-0.4652137591369931,0.09322279922425537,-0.09139960764235318,0.1635516846928961,-0.19604954192040655,0.2568412659357404,-0.13442813667522419,0.28055147720888035,-0.3780669446857609,-0.0027742487474807726,-0.10620404570908878,0.3420738539553259,-0.03172557881887009,0.11343371342395092,-0.3818932481375185,-0.3280966434331471
Ordu,0.2644865331191935,0.005832722204698608,-0.20729761866345053,-0.04702334840585252,-0.1319382388873415,-0.33617693865416975,0.2227859934939441,-0.42701777564504545,-0.0252985906333431,-0.5103134385365897,0.029651548307834244,0.05800473933798742,-0.08616754402438269,-0.1951706021591408,0.010847565236990216,0.4598818054350605
Şanlıurfa,0.19391114577544488,-0.2616697717607256,0.44201903613464616,0.1368020110839074,0.05760187601908826,0.2338498741976662,0.2005534365536464,0.3689816889622927,-0.2471741147586771,-0.23419488157435972,-0.25180749983093986,0.027580529804115118,-0.23481382165171025,-0.17563631119296896,-0.4007653894390728,-0.1369318877561381
Elazığ,-0.5827064987262242,0.12984921655088424,-0.1378317225889635,0.18138264659330913,0.021888353162761717,0.014694516034839789,0.175801638113543,0.31041988197226944,-0.368971267735262,-0.0509068336473232,-0.22254447080770298,0.3320811165000745,-0.10856623570413611,0.04777873203884685,-0.24245436491546618,-0.30388247035261207
Mersin,-0.11950936830551345,-0.0929395131807194,0.22527568833270806,0.19553663585888487,-0.0711798217496179,0.17704148404468883,0.538365092901576,0.32720933235409055,-0.16371581901018212,0.32483986113134344,-0.40734043806646153,-0.25118480277719557,-0.08968132580726322,-0.006389992930385436,-0.282563255028007,-0.07425270246903462
Kocaeli,0.15403501315103324,-0.20138415976423493,-0.5194133181031553,0.02591838762516209,-0.3766584514030867,-0.16739748096936058,-0.07585359442528329,-0.1706503634879807,-0.2749254726157361,-0.015464327879248879,0.19626148571868984,0.011135334087749344,-0.015011780389432896,-0.07976782729680958,0.5463945991637753,-0.20220240329078598
