,0,1,2,3,4,5
Adana,-0.02673322794265472,-0.22741716527921904,-0.795351230820064,0.49260656301331984,-0.1430272384810177,0.22773925928973643
Düzce,0.37737123684252366,0.14254988431675752,0.7468000667420779,0.4008098320251404,-0.08615557041128116,0.3338994409074928
Çankırı,0.31520945569298614,0.8141542267781737,-0.1479811459073964,-0.2691866903869165,0.3697723608691681,0.08188040896746411
Burdur,-0.8759054891113288,-0.2934408111085136,0.235917346702012,-0.171740986287716,0.2140699362728916,0.1253162641429536
Kars,0.3615849056230416,-0.5624093547292843,0.262958225202212,-0.4955455018185863,-0.479420749455055,0.09162666727753346
Kastamonu,0.4744505658440753,0.43537522927010824,0.03561006286505988,-0.2962457322819107,0.696440644925287,-0.10623505980507972
Kayseri,-0.10100967849778526,0.5593101628852108,-0.5409793317105017,-0.17392744975735153,-0.5179501203407137,0.29289497138922693
Artvin,0.041945510137885104,0.2547288513245733,0.48365272719520824,0.29266764370486276,-0.5846928915852834,-0.5214534483697055
Kırklareli,0.5362637496191548,0.040757946991370045,0.09100972136210908,-0.41376861000049847,0.7009963035454241,-0.19969209051174572
Gümüşhane,0.12932397416850586,0.4365874574641044,0.2407347966957121,0.21662822119408914,-0.3292821072159937,-0.7611563354527413
Sivas,-0.09138193665725991,0.4497340896618078,-0.11749722637005991,0.0394852479063039,-0.44722811293278963,-0.7576350851462268
Antalya,-0.9870193654107222,-0.06024233946576801,-0.10945957708017783,0.07053905598225478,0.051314528476635646,0.05072765097742897
Erzurum,0.04363214878760014,-0.05332465402907247,0.2993819488767109,-0.11030241381587796,-0.717573916356451,-0.6152594717864123
İstanbul,0.7527762940552866,-0.2008210884418243,0.12800566996746615,-0.13626525751730703,0.4436952252198469,-0.4014718130983311
Bursa,0.1438508114328256,-0.12195869127839937,0.7828656293858883,0.39838609976847245,-0.36585744296095646,0.24288119511265166
Eskişehir,-0.8706248631239767,-0.11145797231307336,0.38740513605186844,-0.07483097835490321,0.21626536487020492,0.16473113037569267
Konya,-0.49801283456638384,0.4741919123123537,-0.3178976426403407,-0.31637015469456364,-0.3082606255353759,0.48057428944076824
Yozgat,0.002451185971220839,0.8275863717703527,-0.30474029307588507,-0.42152861772804473,-0.1316816543527574,0.1649294063123576
Sinop,0.46182731585036,0.43786716548572674,0.14729227421032656,-0.21407072168592314,0.6466256947089377,-0.33066871448770074
Isparta,-0.8835820348584498,-0.2483372387380643,0.22386046903722007,-0.18860567625135224,0.1437204419623973,0.22642929885881366
