,0,1,2,3,4,5,6,7
Çankırı,-0.43406540134466176,0.27625634795465914,-0.5179012180639704,-0.5834546574795341,-0.040836446368922,-0.01737231218316212,0.18302194836745114,0.3019307907396974
Burdur,0.4942006743857376,-0.4033447085485745,-0.45169939702661815,0.2607911391178588,0.5137011319730983,0.050400747515328144,0.07909413480654479,0.2198849824444686
Kars,-0.2038621067282486,-0.5778438790058467,0.0874836171549035,0.12630014537775072,-0.19425566137850162,-0.4323780880874854,-0.6117592526392626,0.04467803394635132
Kastamonu,-0.20539338732223134,0.29596258102238254,-0.6519485271351624,-0.5123979721076146,-0.4075095545252645,0.07799521387948517,0.05925305416142256,0.08350406205822389
Kayseri,0.1019359440196248,0.14862244791116425,0.4244523223221046,-0.28323125997656684,0.16008722204519676,0.4082954530398024,-0.3499009791187749,0.6263999680058868
Artvin,0.2522694514841571,-0.19216451275691832,0.5118361737670896,-0.1322724988326598,-0.4015327629957063,-0.5687768170830342,0.3008155825830982,-0.21150649877941308
Kırklareli,-0.23819117404000867,-0.4278225551563277,-0.6756114311267347,0.19648860517903058,-0.26566183706543617,-0.22239303341965116,0.176194858880877,0.3377791390716852
Gümüşhane,0.1583232581387622,0.029961543795176786,0.43014731911377996,-0.23815043408791842,-0.4844441845076847,-0.4025690688265139,0.4974750809151227,0.29675617469233956
Sivas,0.11513568096581467,0.3812047242557356,0.42239808310032845,0.03973006253817719,-0.33567928187493945,0.5066427104210922,-0.09587845473589701,0.5318533823452458
Antalya,0.6027882287823256,-0.4325234421276853,-0.10530174770307375,-0.048349049148640286,0.5297873818449078,0.34394817663813804,0.19125995932312034,-0.02425581195347349
Erzurum,0.24267608634198778,-0.20241115109576527,0.540294406584254,0.06332249165511346,-0.3377067844559525,-0.582434715768226,-0.3877692384527438,0.023858051143495693
İstanbul,-0.39901777401950145,0.25900654984745686,-0.14155462381464967,0.35242196251109587,-0.7774056499009212,0.001830865967548831,0.1508232784944331,-0.04848622552112556
Bursa,0.2463904430825963,0.4031702107435072,0.3054293625971623,0.1808257266028858,0.07856146622314061,-0.6794726074395911,-0.06359150022416489,-0.4229204235455895
Eskişehir,0.2502179681338339,0.5047310210939379,-0.4427442987080417,-0.2698433910567482,0.2906252149966059,-0.04048923398793391,-0.4661816018957173,-0.33222268951135103
Konya,0.5949458401891666,-0.3129747206010796,-0.015457301053226994,-0.3204001540374638,0.6161916456749817,0.20863735496510655,-0.1253700576901813,0.07906796564655125
Yozgat,-0.34996291705136334,0.2281940669107165,0.4202618181170891,-0.41004283009247144,0.3607106730295425,0.10419077448485367,0.014922948074790936,0.5826728968588647
Sinop,-0.3562115962735136,0.07409288236745291,-0.35142051953540626,-0.2567176602200923,-0.39996170426111466,-0.23031259896096606,0.5353451276665581,0.4226293186841298
Isparta,0.40548215376509655,-0.32611246526605214,-0.4272475323163727,0.489044377565586,0.4862102410188922,0.03216215721525412,0.015544829183197263,0.26429828099034564
Aksaray,0.10049386789554325,-0.20816561637521747,0.12435821998933452,-0.5723271463674977,0.6047947798826157,0.1287470953899983,-0.1802963767421303,0.4343793336652615
Ardahan,-0.03282075750565695,-0.5063680005907272,0.2660862815086032,0.022240163726899447,-0.39662027297949276,-0.560037371289931,-0.43029508500265146,-0.12294044658990905
Adıyaman,-0.2010497746127093,-0.14438844617732333,0.33685147955566624,0.3054788462921471,-0.23449944253320462,0.786729077502012,0.011887013795238623,-0.2405634820485771
Kahramanmaraş,0.47177215094277364,-0.2549220910797397,0.2660197466950311,-0.06451124092845785,-0.1188768024120309,0.7750747837843522,-0.08800694399728609,0.12206441920040723
Osmaniye,0.4289968253480125,-0.5057174160178461,0.1959235957822366,-0.15210039984319637,0.07914381197709251,0.6999304040373624,0.00036957217468101,-0.05024521775348863
Niğde,0.5002690649077831,-0.4023869421847942,0.20562032139335393,-0.40657452251816245,0.22765245598846556,0.46794099574077447,-0.0727040865797594,0.3227270551206397
Tokat,-0.3681360742670148,0.12063640188289744,0.06398822664296162,-0.19965600283228904,-0.2640907101755321,-0.2110564605068056,0.6018981279191299,0.5739299501096893
