,0,1,2,3,4,5,6
Kütahya,-0.306759847661592,-0.4829177892747658,-0.39076921815848187,0.40125231691090324,-0.036505999967075535,0.1183571221394255,0.5862113139332329
Bingöl,0.6888709001393837,2.1931029482101155e-05,0.5684625676321463,0.3623500074295607,0.11113760354232655,0.07942310814704816,-0.228801369637904
Ordu,0.36657592910276454,0.4760886396112136,-0.49224892035327383,-0.3748563351620379,-0.30514436513366555,-0.36530335547634013,0.17197615747658146
Şanlıurfa,-0.6885444111929457,0.3076546247463061,0.626065001879583,0.16218955203215704,-0.05212087834766212,0.08573102502624941,-0.05409245519027223
Elazığ,0.5649199984703096,0.013486380696978073,0.6641817268336268,0.4050442677207328,0.19438940308108907,-0.04736983284362664,-0.18829271546457446
Mersin,-0.465346308258995,0.1872476517540796,0.7750140948525193,0.31815608226934394,0.18090908232435146,0.011099530619613426,-0.11691746982314312
Kocaeli,0.21271932194686466,0.18525470257388416,-0.5382781223019049,-0.12160081621479998,0.7784002527578235,-0.08178935979093928,0.05748597153482477
Iğdır,0.30652331006874917,-0.17502905111896122,0.125240105241618,-0.6903435371342571,0.4146679656470633,0.35809843874023034,0.28803644710845183
Şırnak,0.4322805412708621,0.055419061093007635,0.5237958072504022,0.6937731638792539,-0.003771935072236406,0.12536802899418156,-0.19659003155280838
Ankara,-0.031047058124817443,-0.5750182366227199,-0.05919283326659378,-0.17024225412523722,0.05673878882287602,-0.5347935845265459,-0.5887957395612544
Van,0.6035936032824941,-0.22909705005912312,0.3844578057747737,0.4557083466455975,0.3820791229068013,0.1896923558918414,-0.21387789989154402
Tekirdağ,0.12030044357251642,0.21209297438769167,-0.4693162643557765,-0.2834749490648282,-0.46726060145915016,0.6267658130135648,-0.16958984850794617
Diyarbakır,0.19656038538126164,0.1611378972779221,0.5589193257949454,0.5907777646398022,0.1694452023321491,0.39337812804052763,-0.3008843379202201
Adana,-0.598590062199646,0.2744915418930992,0.7054322507256372,0.2167086044911175,0.07750068038990747,0.005463884777959944,-0.1253428966590507
Düzce,-0.03616679431470835,0.4563410648483377,-0.7338594536599384,0.16462248685564285,0.3743232262359355,-0.2909903908000399,-0.0011177566120155308
Çankırı,0.1730600464175955,0.5798669436652275,-0.5285958962177202,-0.17301843776634768,-0.2657721563930021,-0.4823724454352554,-0.14538752162407237
Burdur,-0.20030645153672455,-0.4907135921951216,0.0037199997045625987,0.2713922328223108,-0.3151259404989727,0.22388388821267666,0.7042595826093216
Kars,0.15201854491097244,-0.25829117933916323,0.024306720330702428,-0.7375681413216977,0.3217435771084026,0.4285925862981218,0.27994269858764415
Kastamonu,0.35658352748147787,0.4426908396805777,-0.452258378582247,-0.12016495401385623,-0.4932048855462912,-0.4351559165569434,-0.1590094977651715
Kayseri,-0.3056274385046005,-0.5140557517982308,0.2617853825873398,-0.13253793813729015,0.1628179409630445,-0.48216632959475586,-0.5452032740179248
Artvin,0.2837674223348203,-0.07022415836240556,-0.011301336398318389,-0.63920332427027,0.553616403452854,-0.019332112326922734,0.44606182856426707
Kırklareli,-0.014470259005075573,-0.03563435472424013,-0.42751761609157085,-0.1922748624184919,-0.40949677481013685,0.76533067765484,-0.1592520481548751
Gümüşhane,0.3348974998543697,0.05264475792065092,0.11400745583611652,-0.8059882718611531,0.28233689274975315,0.018855667858258967,0.3773430037417546
Sivas,-0.12626239285195726,-0.42308177647498385,0.13754528091518686,-0.4272817780865649,-0.07094817986710655,-0.5691318854041825,-0.5240481363090999
Antalya,-0.4410672784082169,-0.47424226140696396,0.16731863139416533,0.3433719784161504,-0.1582423989856,-0.25951316062457713,0.5850353459972005
Erzurum,0.24479667728483226,-0.2689635272290265,0.0620328574729124,-0.6374875716497307,0.5865364052585307,0.2863109529175036,0.17747059458561865
İstanbul,0.3232547983185141,0.5475255883966452,-0.1678715343084011,-0.41943308669537344,-0.12379381406718439,0.4158752722412981,-0.45093231055893995
Bursa,0.0844900596431306,-0.06217807009645568,-0.5062421315981627,0.11748300363110428,0.8303473731367588,0.171401825233134,-0.007524606632733863
Eskişehir,-0.20825443911128746,-0.5267916531630455,-0.3590387503348755,0.4722949515008749,0.026454864784388382,-0.02047275339951192,0.5709906337151497
Konya,-0.40171178834198523,-0.7622147218664532,0.03159244881257848,0.048506974843484596,-0.03560832794147457,-0.4240334888353736,-0.2706159543966336
Yozgat,-0.3793487499318368,-0.221328026105951,-0.2492981343902602,-0.2636726199367012,-0.08321305766117064,-0.5813735647264426,-0.5749051971781048
Sinop,0.34244404410730606,0.6045504952658582,-0.35844251287059636,-0.22380765866581254,-0.36970517793173957,-0.44079277476375234,0.0877478395478266
Isparta,-0.07478334016492466,-0.6018072564620907,-0.014783581433290192,0.4482008955693465,-0.28509473590838164,-0.16544130930085044,0.5678759070152034
Aksaray,-0.6027643036846951,-0.4502651490316403,-0.0025968001663983485,-0.17182877880682856,-0.0990158238525575,-0.23001458848791712,-0.5845457833935702
Ardahan,0.21429945603334577,-0.022579824030315377,0.05382130973037388,-0.804699475288819,0.3666809257874067,0.19851546656990457,0.3595338982288069
Adıyaman,-0.40924695251294546,0.48970249470340477,0.735426647456298,0.009081546300574131,-0.1605654438174838,0.10375863141892212,0.123395522308859
Kahramanmaraş,-0.6577578757746549,0.33584779793713426,0.6598756194911789,0.1118180966066228,0.05089814776698046,0.037142125215420985,-0.05149324846976406
Osmaniye,-0.5818375424360447,0.4008616913824033,0.6850554060049754,0.051423932076325,0.14878496639511082,-0.01007187702038317,0.08118644945606743
Niğde,-0.8209450403442283,0.013512603465740717,0.3559093764016146,-0.10960458017755556,-0.030997458389866745,-0.17169931222160115,-0.39590466760484666
