,0,1,2,3
Eskişehir,0.3546206720429899,-0.9267618646367399,0.09244949454327313,-0.0825210044382912
Konya,0.5294506828092584,-0.7622301792922371,0.16317531045937042,0.33475505418951024
Yozgat,0.6301265198917001,0.5540537895006573,0.43231515061561177,0.33025532216353004
Sinop,0.08811485403274395,0.3676276720848233,-0.7133474808932049,-0.5901025662709837
Isparta,0.2840372144514233,-0.9419692697819312,-0.056384875410199174,0.16981608115295813
Aksaray,0.5369793936441544,0.35528222086017336,0.4747558218396623,0.6000288192841792
Ardahan,0.3419634642450508,0.2305482892423085,-0.7411706883227941,-0.5296928225113915
Adıyaman,0.3883593381425563,0.5092188648666354,0.4187686571721013,0.6438213913125956
Kahramanmaraş,0.3275243291404631,0.4206661445965578,0.399927263822338,0.7455373848861878
Osmaniye,0.3101229582380277,0.4353764540072292,0.3589941133335833,0.7651106590955454
Niğde,0.5336059132129264,0.25687469872326346,0.3979840836966948,0.7006345607120261
Tokat,0.3157259023168767,0.4927985121895095,-0.6517115089293033,-0.482430191964693
Bilecik,0.20035812813190834,-0.9784208885353772,-0.003294040184878403,-0.0503818882970941
Muş,-0.8456370330795318,-0.4285846510216901,0.050167423278437616,0.31415988737371464
Ağrı,-0.377367278689534,-0.23548789057594444,0.597106518265774,-0.6675351647749146
Hatay,-0.6419876655966494,0.1763597296349555,-0.13165954608820873,0.73444866866834
Kırşehir,0.5774362269571506,0.4888840139174394,0.4090230242336385,0.5101568292008171
Bayburt,0.4195241932460181,0.25363836983988386,-0.6733407653054985,-0.5534250106419566
Erzincan,-0.3785354449426872,0.02847527398568749,0.5939654970026019,-0.7092989948279456
Siirt,-0.8024997384685464,-0.07376767535189348,-0.17916855748835858,0.5643147418228881
Karabük,-0.4873445180824318,0.03493279534027572,0.577085668498748,-0.6544059533027414
Kilis,0.3133477166871288,0.5216834522402454,0.2542521742135688,0.7516750734282305
Malatya,-0.6141417042069705,0.041283080028493735,-0.12630749807878258,0.7779280753297166
Uşak,0.2649354171579186,-0.9543456809997596,-0.005961491090135682,0.1378332562063576
Karaman,0.6108622196281305,0.23983631392363036,0.4910125875189976,0.5729158141057183
Bitlis,-0.6911603394645843,-0.037225078151530915,0.7076966631174517,-0.14169372505597075
Gaziantep,0.154301634746136,0.3788821344249211,0.3493497419154268,0.8429674320825871
Rize,0.21954976465764947,0.2553464483772229,-0.6483699618907346,-0.6827975429493842
Hakkari,-0.7873073325922647,-0.15335217865047934,-0.15074565922475408,0.5778460171832105
Batman,-0.6416774841346699,-0.05142570053180353,-0.24824087643041826,0.723865920560204
Mardin,-0.5809279795138473,0.026139317863664285,-0.05161144665328495,0.811896346373068
Muğla,0.378802117010848,-0.9235884031523064,0.00970594483230262,0.05830276447635267
Zonguldak,-0.4801196546637457,-0.123517949965144,0.4692329810471845,-0.7307864549507921
İzmir,0.35941511142945404,-0.919918466399016,-0.13230835520924572,0.0840552913031631
Kırıkkale,0.5424904536886379,0.5449569900437038,0.5146647857769939,0.3792705432014501
Sakarya,0.21704342160982915,-0.8834385859253793,0.15757996923066606,-0.3841835125709148
Nevşehir,0.5180086090343111,0.4766311021121896,0.4914753204781381,0.5127785904526135
Tunceli,-0.5037777364746299,-0.1356080421785986,0.7888013686522108,-0.3249782330270521
Trabzon,0.1963350424036113,0.3380308492780077,-0.5964092204067053,-0.7010590116920451
Bolu,-0.3453947525026181,0.006271606427284992,0.7137542611028087,-0.6092766093114521
