,0,1,2,3,4
Kayseri,-0.4963973931220099,-0.1230094661623005,-0.10823196286072212,-0.10462367367524561,-0.8460484787872082
Artvin,0.11947182189457779,0.06791372287552734,-0.8891677278856217,0.31994425397597037,0.296868044849655
Kırklareli,0.2653945729700613,0.10191462227572219,-0.8008897066243335,0.5168732631166744,0.10294094473408415
Gümüşhane,-0.016575981467538633,0.15984374743714344,-0.8982796185792434,0.3839965252090962,0.14076792502593596
Sivas,-0.4450051906624101,-0.0010482449804995867,-0.2570449636782206,-0.19186665215964138,-0.8361126454627306
Antalya,-0.6859532071529988,0.09072072954815562,0.5148903125561095,0.4435482214085108,0.24370245823131076
Erzurum,0.30033149136631304,-0.01625592171483161,-0.7899677289885713,0.5283345339532947,0.07968906883557843
İstanbul,0.5027560324077819,-0.38673708645768773,-0.3673599539975001,-0.5557459915112849,0.3922548342008004
Bursa,0.7749154312965965,-0.24670485604921016,0.35768976118819873,0.41506620616471934,-0.19601241690593132
Eskişehir,0.511937846890501,-0.0205854586559283,0.6850187350080201,0.43316269558366144,-0.2839283213343667
Konya,-0.745674991251683,0.2077852694276929,0.4473856840190019,0.4356261956729942,0.10425908405979419
Yozgat,-0.41139584082692177,0.1166336823596912,-0.06313486074600021,-0.29861903693534125,-0.8508764342887403
Sinop,0.2792444757398683,0.764868272992736,-0.22292377350826764,-0.5069878721531054,0.17397510290951748
Isparta,-0.47334248700083725,0.09254649856615668,0.6327856723350737,0.5777229070202777,0.182210238994671
Aksaray,-0.6224879075032256,-0.07143587889937214,-0.05522212117242298,-0.07375223914056608,-0.7738971797164662
Ardahan,0.17895789473000914,0.029071538096295688,-0.8072598798760712,0.542158872791488,0.14671114675597258
Adıyaman,-0.509258893126493,-0.6110200255043502,0.03840874809964406,-0.20912131990959493,0.5675411437357908
Kahramanmaraş,-0.8697212713871967,-0.04014358491040481,0.25322971780611814,0.2862473348462962,0.30969432671653124
Osmaniye,-0.8204175587016583,0.020846369949387735,0.2845119137109127,0.26398455055234665,0.4193394642293688
Niğde,-0.7451727388700646,-0.03212301448886098,0.004546535469322442,0.032521329569078945,-0.6652874516502773
Tokat,0.13896841129431878,0.6532779921039249,-0.1972902021476277,-0.7175664009715521,0.009522711183238742
Bilecik,0.738099362932716,-0.08018141765766322,0.6379066915708129,0.19890439012540673,-0.04787867102108929
Muş,0.22082686282169955,-0.8383808397502028,0.00850202508926008,-0.33460962092208724,0.36921156719668147
Ağrı,0.30680865843634497,-0.10655177167121063,-0.6886719170827061,0.6481070677190452,0.0142613623636599
Hatay,-0.7713967488454739,0.07854759031155435,0.3247172211243129,0.336358007044537,0.4244989391379117
Kırşehir,-0.4958774488363231,-0.18834796173968135,-0.1270821567933248,-0.23420025767206049,-0.804755221030087
Bayburt,-0.056967467824027083,0.12504204764279506,-0.8381567397269395,0.5031224729509658,0.1596253450835027
Erzincan,-0.015968776261118107,-0.12555906625394644,-0.8732385378985417,0.4586882636455841,-0.10506879550454346
Siirt,-0.032592435491595156,-0.8372830751384875,0.04677796338451649,-0.3744845108338978,0.3942942537274127
Karabük,0.23974066975308186,0.718494843821282,0.18892880474466459,-0.6075888195233651,0.14639434345811111
Kilis,-0.8092541987561538,-0.10643850111325356,0.07626148169061137,0.2779872915491296,0.5006852698290926
Malatya,-0.24104417678121362,-0.798917208937428,-0.181016052130151,-0.4500098545853153,0.26144467435925195
Uşak,0.434642446772743,-0.16319987024885205,0.7283632318872958,0.4537144608417824,-0.21927593637220144
Karaman,-0.7895689856274641,0.18097951468211243,0.3547097456345202,0.39954219650841205,0.2416076608093618
Bitlis,0.03876669511730089,-0.8300923773109663,0.033117337739595146,-0.4146663442496673,0.3693221539084389
Gaziantep,-0.8103506755634349,-0.08196262015547229,0.2886119017672816,0.24183242866474405,0.4414002244171595
Rize,0.24006192337543975,0.19439582737202749,-0.8733987410474675,0.32586397685403123,0.18859438743293402
Hakkari,-0.39455852729636376,-0.4495995530322815,-0.2983816923810664,-0.11221384879390964,-0.7352280110561389
Batman,-0.10712216230495328,-0.7555656116280364,0.1418358684772828,-0.35758944497140593,0.5192858789978791
Mardin,-0.15457859684505962,-0.8037972432877178,0.17374890714259078,-0.3293420840687457,0.4374477774643377
Muğla,0.45248448595415425,-0.1173086922168106,0.7191875650543339,0.4730680715031171,-0.2011773016439141
Zonguldak,0.47663211754894785,0.713883047137483,0.1073816992016146,-0.49248271150222744,0.09551318798205954
İzmir,0.5674892752125323,-0.33008143565181824,0.4699438166885028,0.4894446373686431,-0.32954350921253195
Kırıkkale,-0.3278258650706533,0.024141204093032425,-0.13278398820284676,-0.3639315053465637,-0.8613185684453497
Sakarya,0.4700030479049912,0.6967507937781379,0.06840341458463632,-0.5175369639249198,0.1452994500130409
Nevşehir,-0.5772637980177474,-0.08009176343176809,-0.04204988999004768,-0.1456765019610027,-0.7983495352643137
Tunceli,-0.4235747103986852,-0.36609172328747863,-0.17415651046369643,-0.20299022165281516,-0.7842358029492936
Trabzon,0.1932863447734388,0.280830094839703,-0.8804031592712203,0.3171589526647757,0.0898627990120693
Bolu,0.30518942655600906,0.686253000760501,0.12473321112463209,-0.6215957763298969,0.1843272897782445
