"","sigma","year","ppp","ppn","pnn","nnn","sb","wsb"
"42",10,2010,243,34,308,39,0.88301282051282,0.94551282051282
"43",15,2010,349,102,1113,283,0.791553871142393,0.944775311315647
"44",20,2010,442,230,2139,789,0.716944444444444,0.936111111111111
"45",25,2010,513,368,3378,1531,0.672020725388601,0.936442141623489
"46",30,2010,579,539,4668,2601,0.625611064743055,0.935733873852391
"47",35,2010,623,707,6174,4097,0.585897767433842,0.939056977846737
"48",40,2010,678,914,7799,5650,0.563592846220331,0.939232763779004
"49",45,2010,759,1182,9510,7552,0.540388359732674,0.937799294848182
"50",50,2010,801,1399,11502,10157,0.515654470011316,0.941363845928161
"51",55,2010,832,1688,13488,13104,0.491893377301456,0.942017037647705
"52",60,2010,895,2036,15587,16161,0.475273220104386,0.94129011793881
"53",65,2010,942,2375,17710,19751,0.457403501888273,0.941757810584139
"54",70,2010,1028,2722,19893,23518,0.443608065986726,0.942282818430483
"55",75,2010,1061,3055,22043,28366,0.423732232920679,0.94397065566254
"56",80,2010,1116,3418,24250,32792,0.411946212810186,0.944491360270235
"57",85,2010,1221,3874,26660,36740,0.407051609606541,0.943441127089569
"58",90,2010,1314,4247,28243,39755,0.401813510243478,0.94226403295314
"59",95,2010,1336,4475,28684,40078,0.402558566773497,0.939991685998954
"60",100,2010,1151,3515,25650,37048,0.397853452882845,0.947820794489638
"61",5,2011,75,1,38,0,0.991228070175439,0.991228070175439
"62",10,2011,253,51,334,40,0.865781710914454,0.924778761061947
"63",15,2011,370,158,1132,252,0.785564853556485,0.917364016736402
"64",20,2011,453,276,2179,694,0.73070516379789,0.923375902276513
"65",25,2011,534,459,3414,1454,0.673605186828186,0.921685719160553
"66",30,2011,601,626,4697,2321,0.642571255306246,0.924075197089145
"67",35,2011,673,845,6333,3590,0.612359059522769,0.926142819683594
"68",40,2011,719,1078,8096,5348,0.578374122432911,0.929269732957155
"69",45,2011,768,1313,10058,7552,0.549794322279214,0.933319790767356
"70",50,2011,831,1596,12020,9963,0.5264645637034,0.934616960262188
"71",55,2011,895,1857,14059,12675,0.507155938411449,0.937020959099234
"72",60,2011,928,2041,15797,15654,0.485909355026148,0.940703079604881
"73",65,2011,992,2293,17859,18847,0.471381060738666,0.942662098972269
"74",70,2011,1046,2613,20031,22612,0.455207118483003,0.943566152649994
"75",75,2011,1135,3067,22550,26789,0.442371266879588,0.94271679647373
"76",80,2011,1208,3415,24815,30807,0.431952859158436,0.94331479790854
"77",85,2011,1284,3915,27031,34459,0.424582764773801,0.941294666286794
"78",90,2011,1295,4062,27863,36917,0.415729215677888,0.942084776936567
"79",95,2011,1258,3947,27812,37679,0.411197238881974,0.944169401380559
"80",100,2011,1150,3269,25021,34134,0.411662000188756,0.948579608015856
"81",5,2012,78,5,24,0,0.953271028037383,0.953271028037383
"82",10,2012,286,70,313,45,0.838935574229692,0.901960784313726
"83",15,2012,424,175,1113,255,0.781392984239959,0.911032028469751
"84",20,2012,504,321,2178,731,0.718264595607927,0.914033208355651
"85",25,2012,566,493,3386,1485,0.666441821247892,0.916863406408094
"86",30,2012,641,718,4927,2617,0.625407166123778,0.919353027069527
"87",35,2012,679,893,6669,4161,0.592485083051121,0.927995484599258
"88",40,2012,739,1090,8278,5834,0.565648328210275,0.931622859293645
"89",45,2012,806,1387,10337,7904,0.545316629147499,0.932122932367623
"90",50,2012,850,1558,12235,10421,0.522063517395468,0.937839131822534
"91",55,2012,886,1750,14074,13163,0.500786663542329,0.941418672379741
"92",60,2012,983,2106,16220,16147,0.485192915162455,0.940602436823105
"93",65,2012,1051,2405,18429,19651,0.468990755007704,0.942098420647149
"94",70,2012,1083,2779,20698,23570,0.452545190110118,0.942260544359028
"95",75,2012,1148,3053,22881,27391,0.441117617902447,0.943953885411121
"96",80,2012,1243,3412,25190,31046,0.434103562102774,0.943965446453499
"97",85,2012,1305,3622,27048,35237,0.421844313515444,0.9461108135452
"98",90,2012,1315,3783,27878,37468,0.414414286525467,0.946297768440179
"99",95,2012,1278,3650,27697,38306,0.408495580211755,0.948541540370219
"100",100,2012,1133,3022,25288,35431,0.407266393316275,0.953417393717051
"101",5,2013,69,2,27,0,0.979591836734694,0.979591836734694
"102",10,2013,269,32,286,40,0.885167464114832,0.94896331738437
"103",15,2013,399,105,1001,203,0.819672131147541,0.938524590163934
"104",20,2013,476,225,2017,687,0.73215859030837,0.933920704845815
"105",25,2013,572,373,3276,1504,0.672139737991266,0.934847161572052
"106",30,2013,650,531,4799,2596,0.635377798507463,0.93808302238806
"107",35,2013,702,694,6242,3957,0.598878827080638,0.940146614920224
"108",40,2013,775,890,8045,5705,0.572169964320467,0.942264028543626
"109",45,2013,837,1111,9825,7708,0.54730249987167,0.942970073404856
"110",50,2013,879,1389,11935,10225,0.524561978057966,0.943139020795808
"111",55,2013,921,1648,14003,12975,0.505093579720445,0.944224455951535
"112",60,2013,1014,1956,16085,15953,0.488431215722121,0.944127056672761
"113",65,2013,1087,2327,18554,19388,0.47492504110649,0.943732469291034
"114",70,2013,1161,2668,20892,23175,0.460435109403708,0.944295974611659
"115",75,2013,1254,3107,23407,27265,0.448112950411571,0.943542965130013
"116",80,2013,1365,3588,26156,31162,0.441955324308266,0.942380883557354
"117",85,2013,1474,4033,28728,35116,0.435494801805309,0.941846548715952
"118",90,2013,1518,4332,30442,38371,0.428056734928947,0.941979293626026
"119",95,2013,1456,4175,29850,38899,0.420892713094918,0.943869319709599
"120",100,2013,1278,3524,27217,35755,0.420441467229321,0.94800365922035
"121",5,2014,74,4,33,0,0.963963963963964,0.963963963963964
"122",10,2014,281,53,264,38,0.856918238993711,0.916666666666667
"123",15,2014,425,145,1035,232,0.794774088187262,0.921066956995101
"124",20,2014,502,271,2101,736,0.721052631578947,0.924930747922438
"125",25,2014,579,431,3545,1677,0.661745827984596,0.93084082156611
"126",30,2014,671,631,5034,2797,0.624657834227527,0.930909887222161
"127",35,2014,710,817,6443,4003,0.597427545310281,0.931763133717531
"128",40,2014,778,1038,8300,5688,0.574411541381929,0.934320425208808
"129",45,2014,843,1288,10187,7902,0.545499505440158,0.936300692383778
"130",50,2014,904,1536,12334,10181,0.530474854738529,0.938449208575436
"131",55,2014,972,1814,14379,13018,0.508597554915018,0.939899943676904
"132",60,2014,1028,2049,16439,16105,0.490356811992926,0.942477751887931
"133",65,2014,1066,2293,18661,19955,0.469970220369267,0.945372245384157
"134",70,2014,1139,2560,20894,23580,0.457372387021776,0.946858198575966
"135",75,2014,1244,2986,23426,26836,0.452727005799016,0.945202965572928
"136",80,2014,1332,3405,25881,30676,0.443974940450941,0.944448069957908
"137",85,2014,1410,3827,28135,34625,0.43450446343221,0.943718105210524
"138",90,2014,1458,4100,29476,37550,0.426182078695029,0.943513722032404
"139",95,2014,1500,4051,29644,37845,0.426396495071194,0.944537239868565
"140",100,2014,1359,3373,27130,34720,0.42787840557508,0.949340662641555
"141",5,2015,73,1,31,0,0.990476190476191,0.990476190476191
"142",10,2015,290,46,300,32,0.883233532934132,0.931137724550898
