0,1,2,3
Bingöl,Adıyaman,-0.2422794867395493,-2.7804565823094367
Bitlis,Adıyaman,-0.23430603617742526,-3.892304102047952
Bolu,Adıyaman,-0.19842694360359794,-2.4568656913906035
Burdur,Adıyaman,-0.44125086184380036,-4.328046343098092
Bursa,Adıyaman,-0.39585538513957863,-8.932085361910003
Denizli,Adıyaman,-0.5116577824812315,-7.148304200924365
Diyarbakır,Adıyaman,-0.18731338872078176,-4.935099105723932
Düzce,Adıyaman,-0.414608512782131,-3.907802601786445
Edirne,Adıyaman,-0.31787753371119876,-4.071526961692946
Elazığ,Adıyaman,0.004603769119370658,0.08987477374628844
Erzincan,Adıyaman,-0.03959021413143886,-0.5890071727745683
Erzurum,Adıyaman,-0.308810698027668,-7.023662685537691
Eskişehir,Adıyaman,-0.5206228335119287,-7.21937524338132
Gaziantep,Adıyaman,0.7581079730715923,85.24321762117455
Giresun,Adıyaman,-0.511359077183776,-6.532732694641941
Gümüşhane,Adıyaman,-0.9580797586476575,-6.580426503620305
Hakkari,Adıyaman,-0.05767475057046029,-0.6427868836916135
Hatay,Adıyaman,0.10696164179636129,3.0837040632903294
Isparta,Adıyaman,-0.581097851394571,-6.749631811977773
Iğdır,Adıyaman,-0.47765573659097665,-4.4115794305594855
Kahramanmaraş,Adıyaman,0.4785314619711423,20.869838356316766
Karabük,Adıyaman,-0.37192367832132794,-3.5255252893328035
Karaman,Adıyaman,-0.6465417613149568,-5.002113414722001
Kars,Adıyaman,-0.23098674496517554,-3.5338607541452243
Kastamonu,Adıyaman,-0.20171984384728003,-2.810796599737825
Kayseri,Adıyaman,-0.3915620659816126,-6.780093626387043
Kilis,Adıyaman,0.11741201103483885,1.2730709015211255
Kocaeli,Adıyaman,-0.5102491303210462,-9.836847103272044
Konya,Adıyaman,-0.2636141692313056,-7.149717530910062
Kütahya,Adıyaman,-0.4000159304396952,-5.966972387330767
Kırklareli,Adıyaman,-0.423560211808885,-4.414467132887058
Kırıkkale,Adıyaman,-0.6684938081188652,-7.304935386241166
Kırşehir,Adıyaman,-0.41834121964692605,-4.624702529434275
Malatya,Adıyaman,0.7656521764614407,77.54101218429449
Manisa,Adıyaman,-0.5478137137297742,-9.523976146833743
Mardin,Adıyaman,-0.4238326591346278,-8.650976022804981
Mersin,Adıyaman,0.5652299767996997,41.809285820763186
Muğla,Adıyaman,-0.28066700936565875,-4.933230559891293
Muş,Adıyaman,-0.3794138601238203,-6.274083990716318
Nevşehir,Adıyaman,-0.4002160985693206,-4.211712951324851
Niğde,Adıyaman,-0.44116277040669083,-5.124079021749878
Ordu,Adıyaman,-0.7720351479025344,-11.007785835244103
Osmaniye,Adıyaman,-0.033073382873736866,-0.5796806485821099
Rize,Adıyaman,-0.8211869258547788,-7.499650509852675
Sakarya,Adıyaman,-0.5435810935169832,-7.227348156022311
Samsun,Adıyaman,-0.20698110622348673,-4.942818246885427
Siirt,Adıyaman,-0.4134741228922005,-4.646836849928418
Sinop,Adıyaman,-0.6320131615739296,-5.323030972347158
Sivas,Adıyaman,-0.38406485195037143,-6.88088792013241
Tekirdağ,Adıyaman,-0.5197354904070697,-7.30188464396084
Tokat,Adıyaman,-0.6762615734130847,-10.90332843114735
Trabzon,Adıyaman,-0.42171546799681037,-6.936938631513041
Tunceli,Adıyaman,-0.19551568683397624,-1.7966069499907569
Uşak,Adıyaman,-0.10052559515428078,-1.3040943735020005
Van,Adıyaman,-0.4329110671131121,-7.476129928460513
Yalova,Adıyaman,-0.44425795965242526,-3.5160538808591397
Yozgat,Adıyaman,-0.5826020261449484,-9.074341291234102
Zonguldak,Adıyaman,-0.6157022635678825,-7.5497433805156
Çanakkale,Adıyaman,-0.492709258334868,-5.577027422392425
Çankırı,Adıyaman,-0.5181763880571822,-5.19951787291669
Çorum,Adıyaman,-0.503859391328529,-7.374191455263379
İstanbul,Adıyaman,0.06941848089858786,7.744576269820411
İzmir,Adıyaman,-0.4458876236974673,-13.628302877038719
Şanlıurfa,Adıyaman,0.5405052212951758,32.383201455537
Şırnak,Adıyaman,-0.07113870886244913,-1.1843043655326313
